"lifeStage","reps"
"A suggestion in 1 or 2",$1.00
"A suggestion in two, otherwise f",$1.00
"a third",$4.00
"a trace",$131.00
"a trace (24 hours)",$1.00
"A trace advanced",$1.00
"A trace in 1 egg, otherwise fres",$1.00
"A trace in 2 eggs, rest apparent",$1.00
"A trace in all eggs",$1.00
"A trace of red",$12.00
"a trace of red (2 days)",$1.00
"A trace of red.",$3.00
"a trace of red. Two infertile",$1.00
"a trace, 3 days, 1 infertile",$1.00
"A trace.",$2.00
"A trace; deserted",$1.00
"a trace-1 day",$1.00
"A week",$6.00
"a week advanced",$2.00
"A week.",$1.00
"a week. Infertile",$1.00
"A X Addled 1x Hatching",$1.00
"A young bird",$2.00
"A, Ex.",$3.00
"A, L",$16.00
"A, L, P",$16.00
"A, N",$5.00
"A, P",$14.00
"A,L",$2.00
"a/n",$18.00
"a= large embryo, yolk sac, eye d",$1.00
"A-1",$17.00
"A-2",$8.00
"A-3",$8.00
"A-3; A-2",$1.00
"A-4",$4.00
"A4Y",$25.00
"A-5",$1.00
"A--6",$1.00
"A-6?",$1.00
"A-Ad.",$1.00
"abandoned",$4.00
"Abandoned egg",$1.00
"Abandoned- egg was totally undev",$1.00
"Abandoned eggs",$1.00
"abandoned nest - eggs rotten",$1.00
"abandoned w/o incubation",$1.00
"Abandoned. One egg punctured wit",$1.00
"abnormal",$1.00
"abnormal eggs, one fell to piece",$1.00
"abot 10 days incubation",$1.00
"aboult half",$1.00
"about",$1.00
"about  1/2",$1.00
"About  1/4 advanced",$1.00
"about @ 1/2",$1.00
"About 1  week",$1.00
"About 1 1/2 weeks",$1.00
"About 1 day",$7.00
"about 1 day incubated",$1.00
"about 1 or 2 days",$1.00
"About 1 Week",$75.00
"about 1 week advanced",$1.00
"about 1 week in all",$1.00
"About 1 week, egg2- addled",$1.00
"About 1 week.",$3.00
"about 1.4 complete",$1.00
"about 1.5 days",$1.00
"about 1.5 weeks",$2.00
"about 1/2",$412.00
"About 1/2 advanced",$56.00
"about 1/2 complete",$5.00
"About 1/2 complete.",$1.00
"about 1/2 completed",$1.00
"about 1/2 done",$3.00
"about 1/2 hardening embryos",$1.00
"about 1/2 hatched",$2.00
"About 1/2 incubated",$21.00
"About 1/2 incubated, set complet",$1.00
"About 1/2 incubation",$1.00
"About 1/2 or more",$1.00
"about 1/2 or ten ten days",$1.00
"About 1/2 over",$1.00
"About 1/2 to 2/3",$1.00
"about 1/2, 2 infertile",$1.00
"about 1/2, heavy",$1.00
"about 1/2, Nov. 15 - 2 fresh egg",$1.00
"About 1/2.",$3.00
"about 1/2; 1 infertile",$2.00
"about 1/2; soft embryos",$1.00
"about 1/3",$409.00
"about 1/3 (1) infertile (3)",$1.00
"about 1/3 (cowbird incubated sev",$1.00
"About 1/3 advanced",$160.00
"About 1/3 advanced.",$2.00
"about 1/3 complete",$17.00
"About 1/3 Completed",$1.00
"about 1/3 done",$5.00
"about 1/3 each",$1.00
"about 1/3 in one and fresh in ot",$1.00
"about 1/3 in two, slight in one,",$1.00
"About 1/3 incubated",$12.00
"about 1/3 or 1/4",$1.00
"About 1/3- slight difference not",$1.00
"about 1/3 started",$1.00
"about 1/3 to 1/2",$2.00
"About 1/3.",$2.00
"About 1/3rd",$4.00
"About 1/4",$216.00
"about 1/4 advanced",$44.00
"About 1/4 advanced.",$3.00
"About 1/4 complete",$9.00
"about 1/4 completed",$1.00
"about 1/4 done",$1.00
"About 1/4 hatched",$1.00
"About 1/4 incubated",$6.00
"about 1/4 to 1/3",$1.00
"About 1/4.",$2.00
"about 1/4th",$4.00
"about 1/4th- one infertile",$1.00
"about 1/5",$19.00
"about 1/5 advanced",$1.00
"about 1/5th",$1.00
"About 1/6 completed",$1.00
"About 1/8",$7.00
"About 1/8 except runt",$1.00
"about 10 days",$70.00
"about 10 days - showing",$1.00
"about 10 days advanced",$3.00
"about 10 days.",$2.00
"about 10 years, 3 months",$1.00
"about 10%",$16.00
"about 11 days",$1.00
"about 12 days",$5.00
"about 12 hours",$1.00
"about 1-4-",$1.00
"about 14 days",$3.00
"about 15 days",$5.00
"about 15%",$3.00
"about 16 days",$1.00
"about 2 days",$49.00
"about 2 days in all",$2.00
"about 2 days incubation",$1.00
"about 2 days started",$1.00
"about 2 days; yolks were bloody",$1.00
"ABOUT 2 MONTHS OLD",$4.00
"about 2 or 3 days",$1.00
"about 2 to 4 days",$2.00
"About 2 to 5 days",$4.00
"about 2 to 6 days",$1.00
"About 2 Weeks",$26.00
"about 2 yrs",$2.00
"About 2.5 weeks.",$1.00
"about 2/3",$80.00
"about 2/3 advanced",$18.00
"About 2/3 advanced.",$2.00
"about 2/3 complete",$2.00
"about 2/3 hatched",$1.00
"about 2/3 incubated",$8.00
"About 2/3 rds",$1.00
"about 2/3 to 3/4 incubated",$1.00
"about 2/3eds",$1.00
"about 2/3rds",$1.00
"about 2/5",$26.00
"about 2/5 incubated",$1.00
"about 20 days",$2.00
"About 20%",$7.00
"about 21 days",$1.00
"about 2-3 days",$2.00
"About 2-3 weeks",$1.00
"about 24 hours",$1.00
"About 25%",$48.00
"about 27 days",$1.00
"ABOUT 278 DAYS OLD",$1.00
"About 3 Days",$96.00
"about 3 days Adv",$1.00
"About 3 days advanced",$1.00
"About 3 days in all",$1.00
"About 3 days in all sets taken.",$4.00
"About 3 days incubated",$1.00
"about 3 days started",$1.00
"About 3 days.",$1.00
"about 3 days; 1 rotten",$1.00
"about 3 or 4 days",$3.00
"About 3 to 6 days",$6.00
"about 3 weeks",$4.00
"About 3/4",$41.00
"about 3/4 advanced",$1.00
"about 3/4 complete",$3.00
"About 3/4 complete.",$1.00
"about 3/4 complete; embryos hard",$1.00
"About 3/4 incubated",$4.00
"About 3/4 incubated with two egg",$1.00
"about 3/4 incubated, 1 egg addle",$1.00
"about 3/5",$2.00
"about 3/5 gone",$1.00
"About 30%",$10.00
"About 33%",$6.00
"About 3-5 days",$1.00
"about 35%",$3.00
"About 4 Days",$97.00
"About 4 days advanced",$3.00
"About 4 days incubated",$1.00
"about 4 days, 1 infertile",$1.00
"About 4 Days, Traces Of Blood",$1.00
"About 4 days.",$5.00
"about 4 half, 3 fresh",$1.00
"About 4 or 5 days",$2.00
"about 4 or 5 days advanced",$1.00
"about 4 to 7 day",$1.00
"About 4 to 7 days",$2.00
"about 4 weeks",$2.00
"about 4/5",$1.00
"about 40%",$5.00
"About 4-6 days",$1.00
"About 48 hours",$1.00
"About 5 %",$1.00
"about 5 day",$1.00
"About 5 days",$110.00
"about 5 days advanced",$1.00
"About 5 days being in all",$1.00
"""about 5 Days In All""",$1.00
"About 5 days incubated",$3.00
"about 5 days, all uniform",$1.00
"About 5 days.",$1.00
"about 5 days. 1/3",$1.00
"about 5 to 8 days",$2.00
"about 5 to 9 days",$1.00
"about 5%",$5.00
"about 5/8",$2.00
"About 50 %",$1.00
"about 50%",$12.00
"about 50% to fresh",$1.00
"About 6 days",$31.00
"about 6 days, embryos formed",$1.00
"about 6 days.",$1.00
"about 6 to 10 days",$2.00
"About 6 to 8 days",$1.00
"About 60%",$3.00
"About 7 days",$35.00
"About 7 Days Advanced",$1.00
"about 7 or 8 days",$2.00
"About 7 to 10 days",$1.00
"About 7/8",$1.00
"about 7-10 days",$1.00
"about 75%",$1.00
"About 8 Days",$25.00
"About 8 days advanced",$1.00
"about 8 to 12 days",$1.00
"About 80%",$1.00
"about 9 days",$7.00
"about 9 days, one rotten.",$1.00
"about 9/10 days",$1.00
"about a third",$4.00
"About A Week",$40.00
"About a week incubation",$1.00
"about a week's incubation",$1.00
"about complete",$7.00
"About complete.",$1.00
"About completed",$2.00
"About fifteen days.",$1.00
"About five days",$9.00
"About five or six days",$1.00
"About four days",$7.00
"About four fifths",$1.00
"About fresh",$43.00
"About half",$263.00
"about half - various",$1.00
"about half (6-7 days)",$1.00
"About half advanced",$2.00
"about half completed",$1.00
"about half hatched",$2.00
"About half in 3 eggs; 1 egg infe",$1.00
"About half incubated",$2.00
"about half set",$1.00
"about half week",$1.00
"about half, one egg addled",$1.00
"About half.",$5.00
"About hatched",$1.00
"about middle",$1.00
"about nine days",$1.00
"About nine days.",$1.00
"About one",$1.00
"about one day",$2.00
"about one fifth",$1.00
"about one forth",$2.00
"about one fourth",$11.00
"about one fourth incubated",$1.00
"about one half",$46.00
"about one half completed",$1.00
"About one half way",$1.00
"about one half.",$2.00
"about one quarter",$3.00
"About one third",$48.00
"About one third advanced",$5.00
"About one third.",$1.00
"about one week",$38.00
"About one week.",$6.00
"about one-fifth",$3.00
"About one-fourth",$7.00
"About One-half",$13.00
"about one-half completed",$1.00
"About one-half.",$1.00
"About one-sixth",$1.00
"About one-third",$132.00
"About one-third advanced",$1.00
"About one-third.",$1.00
"About only half",$4.00
"About six days",$4.00
"about ten days",$4.00
"About Ten Days Advanced",$1.00
"About three days",$5.00
"About three quarters complete",$1.00
"about three weeks",$5.00
"About three-quarters",$1.00
"About to 1/4",$1.00
"about to hatch",$5.00
"about two days",$4.00
"About two days only",$1.00
"About two days.",$1.00
"about two thirds",$2.00
"About two thirds advanced",$1.00
"about two weeks",$9.00
"about two-thirds",$1.00
"About two-thirds advanced",$1.00
"about week",$1.00
"Abput a week",$1.00
"Absolute fresh",$1.00
"Absolutely fresh",$7.00
"abt 6 days",$2.00
"abt hatched",$1.00
"Abundant",$1.00
"Abundant sporulation",$1.00
"ac/u",$1.00
"ACC 2014-440:  cracked - late st",$1.00
"ACC: 2014 426 Infertile..ACC: 20",$1.00
"accoupl��s",$4.00
"Ad",$77775.00
"-Ad",$1.00
"Ad  skull 90% ossified",$1.00
"AD - T.",$11.00
"AD - T.A",$1.00
"ad (>2 yr)",$1.00
"ad (>5 yr)",$1.00
"ad (1+ yr)",$1.00
"ad (10 mo.)",$6.00
"ad (11 mo.)",$1.00
"ad (13+ yr)",$1.00
"ad (13+ yrs)",$3.00
"ad (14+ yrs)",$1.00
"ad (16+ yrs)",$2.00
"ad (17 yr)",$2.00
"ad (19 mo.)",$1.00
"ad (1yr,2mo)",$1.00
"ad (2 yr)",$1.00
"ad (2 yr.)",$1.00
"ad (2 yrs)",$2.00
"ad (2+ yr)",$1.00
"ad (2+ yrs)",$1.00
"ad (2+yr)",$1.00
"ad (20 mo.)",$1.00
"ad (20 yrs)",$1.00
"ad (20+ yrs)",$3.00
"ad (22 yr)",$1.00
"ad (2nd yr)",$1.00
"ad (2Y,8M)",$1.00
"ad (3+ yr)",$2.00
"ad (3+ yrs)",$4.00
"ad (3+yr)",$1.00
"ad (4+ yr)",$2.00
"ad (4+ yr.)",$1.00
"ad (4+ yrs)",$3.00
"ad (4+yr)",$1.00
"ad (4yr,4mo)",$1.00
"ad (5+ yrs)",$3.00
"ad (5+yr)",$1.00
"ad (6 yrs)",$1.00
"ad (6+ yr)",$1.00
"ad (6-7 yrs)",$2.00
"ad (8 yrs)",$1.00
"ad (8+ yrs)",$2.00
"ad (9+ yrs)",$1.00
"ad (9+yr)",$1.00
"AD (AHY)",$6.00
"ad (ASY)",$13.00
"ad (by plum)",$1.00
"ad (by plumage)",$1.00
"ad (yng)",$1.00
"AD ?",$44.00
"Ad 18 Yrs",$1.00
"Ad Breeding SNFO",$1.00
"ad by plum",$2.00
"AD GRC 001",$1.00
"AD GRC 003",$1.00
"AD GRC 005",$1.00
"ad male by plumage",$1.00
"ad or juv",$2.00
"ad OS  SNFO",$1.00
"ad SFO",$34.00
"ad SFO  o. sl. E.",$1.00
"Ad SFO  O.E.",$1.00
"ad SFO  os",$1.00
"Ad SFO/breeding",$1.00
"ad sk",$1.00
"ad Skull 90% issufued",$1.00
"ad skull 90% ossified",$2.00
"Ad Skull fully ossified",$2.00
"ad snfo",$2.00
"Ad SNQFO",$2.00
"ad*",$1.00
"Ad, 9+Yrs Old",$1.00
"ad, ASY",$1.00
"Ad, SFO breeding",$1.00
"Ad.",$7560.00
"ad. (8+ yrs)",$1.00
"Ad. Breeding",$92.00
"ad. et t��tards",$1.00
"ad. Male by plumage",$2.00
"Ad. Nonbreeding",$1.00
"Ad. SFO",$3.00
"ad. skull fully ossified",$1.00
"ad. Skull fully ossified.",$1.00
"Ad. Skull Oss.",$5.00
"Ad. Sum.",$8.00
"Ad. Sum.-Ad. Win",$48.00
"Ad. Summer",$283.00
"Ad. t.n.e.",$1.00
"Ad. Win.-Ad. Sum",$42.00
"Ad. Winter",$230.00
"Ad. Winter?",$1.00
"ad., t��tards",$1.00
"Ad..",$1.00
"Ad.; 10 Yrs. Old",$1.00
"Ad.; 12 Yrs. Old",$1.00
"Ad.; 6.5 Yrs.",$1.00
"Ad.; S.F.O.",$25.00
"Ad.; S.N.Q.F.O.",$2.00
"Ad.; Sk. Oss.",$7.00
"Ad.; Sk.Oss.",$8.00
"Ad.;Sfo",$1.00
"Ad.;Sk.Comp.Oss.",$1.00
"Ad.?",$8.00
"Ad.?; Sk. Soft",$1.00
"Ad.Br.-Ad. Nbr.",$1.00
"Ad.Br.-Ad.Nbr.",$7.00
"Ad.Sum.-Ad.Win.",$43.00
"Ad.Summer",$7.00
"Ad.Win.-Ad.Sum.",$13.00
"Ad.Win-Ad.Sum.",$1.00
"Ad.Wointer",$1.00
"Ad/",$1.00
"ad: 11yr,7mo",$1.00
"ad; ahy",$2.00
"ad; hy",$1.00
"ad; sy",$3.00
"Ad?",$379.00
"Ad? Sum.-Ad. Win",$4.00
"Ad?Br.-Ad.Nbr.",$1.00
"Ad=Winter",$1.00
"Ad-15 Yrs Old",$1.00
"Ad-3 Yr Old",$1.00
"Ad-3 Yr,11+Mo",$1.00
"Ad-Age 9.5Yrs",$1.00
"Adavanced",$2.00
"Ad-Ca. 20 Yrs",$1.00
"Adcanced.",$1.00
"add.",$1.00
"Additional data on card",$1.00
"Additional data on card.",$1.00
"additional data on carda",$1.00
"Addlded, 1/3 incubated",$1.00
"Addle eggs",$1.00
"addled",$470.00
"addled - abandoned",$1.00
"addled -- nest apparently desert",$1.00
"addled & bloody",$1.00
"addled & deserted",$1.00
"Addled (and 1 young bird)",$2.00
"Addled (but Still Sitting)",$1.00
"Addled (one Egg Collected)",$2.00
"Addled (partially Incub.)",$1.00
"Addled / infertile eggs",$1.00
"Addled ? 2 weeks",$1.00
"Addled + 1 Young",$1.00
"Addled + Abandoned",$1.00
"Addled + Fragments",$3.00
"Addled + Frags",$1.00
"Addled and advanced to 1/3",$1.00
"Addled and bloody",$1.00
"addled and deserted",$1.00
"addled and hatched",$1.00
"addled but incubated",$1.00
"Addled- deserted",$1.00
"Addled egg",$2.00
"Addled egg collected with fragme",$1.00
"Addled egg from clutch of 1",$1.00
"Addled egg from clutch of 2",$1.00
"Addled egg from clutch of 3",$1.00
"Addled egg from clutch of 4",$3.00
"Addled egg from clutch of 4.",$1.00
"Addled egg from clutch of 5",$6.00
"Addled egg of set of 4, 3 alread",$1.00
"Addled Egg Plus Fragments",$1.00
"Addled egg, fragments",$1.00
"addled eggs",$1.00
"Addled eggs from colony",$2.00
"addled fresh",$1.00
"Addled from 2014 season, broken",$1.00
"Addled from clutch of 2",$1.00
"Addled from clutch of 5",$1.00
"Addled in nest.",$1.00
"Addled- Incubation had begun",$1.00
"addled large embryos",$1.00
"Addled- nest deserted",$1.00
"addled or becoming so",$1.00
"Addled Or Fresh?",$1.00
"addled to advanced-viable",$1.00
"addled, (partially)",$1.00
"addled, 1/3",$1.00
"Addled, 2 downy young",$1.00
"addled, advanced",$1.00
"addled, but bird was on nest",$1.00
"addled, feathered",$1.00
"addled, fresh",$2.00
"addled, fully formed",$1.00
"addled, half",$1.00
"Addled, Hatched Or Died",$1.00
"Addled, in nest with young",$1.00
"addled, infertile or deserted (s",$6.00
"addled, nest deserted",$1.00
"Addled, No Apparent Development",$1.00
"addled, ready to hatch",$1.00
"addled, small embryo",$1.00
"Addled.",$3.00
"Addled.  1 egg from clutch of 3",$1.00
"Addled.  2 large embryos",$1.00
"Addled. No development.Nest with",$1.00
"Addled/ infertile",$4.00
"addled/advanced",$2.00
"addled/broken",$1.00
"addled/deserted",$1.00
"addled; evidently nest abandoned",$1.00
"addled; in nest with 5 young",$1.00
"Addled; inc. 1/4",$1.00
"Addled; Nest also contained youn",$1.00
"Addled; nest evidently abandoned",$1.00
"Addled; no development",$1.00
"addled; no development to slight",$1.00
"addled; slight to moderate-dead",$1.00
"addled?",$4.00
"Addled-1 egg",$1.00
"addled-advanced",$1.00
"addled--advanced",$1.00
"addled--advanced-feathered",$1.00
"addled--fresh",$2.00
"Addled--infertile",$1.00
"addled-moderate-dead",$1.00
"addled--no development",$3.00
"addled-no development-infertile",$1.00
"addvanced",$1.00
"adjult",$1.00
"Adled",$2.00
"Adlt",$9.00
"adlut",$1.00
"adolescaria",$24.00
"adolescent",$143.00
"ADOLESCENT.",$3.00
"Adolesence",$3.00
"Adorable (see card)",$1.00
"adt",$3.00
"Adualt",$1.00
"aduilt",$1.00
"aduklt male and female or juvenile",$1.00
"Adukt",$2.00
"adul",$2.00
"Adul; skull oss.",$1.00
"adul;t",$2.00
"adullt",$72.00
"adullt ?",$1.00
"adulot",$1.00
"adulr",$1.00
"adult",$5619627.00
"Adult - 14 years",$1.00
"adult - 19 years",$1.00
"adult - 2 years",$1.00
"adult - 21 yrs.",$1.00
"Adult - 3 years",$1.00
"adult - 5 years",$2.00
"adult - 6+ years",$2.00
"Adult - 8 years",$1.00
"adult - aged by wing tip",$1.00
"adult  ""appearing"" (sic)",$1.00
"Adult  male",$2.00
"adult  no bursa",$1.00
"Adult - ossified skull",$1.00
"Adult  skull 100% oss",$1.00
"adult & brood",$1.00
"Adult & Embryos",$1.00
"ADULT & JUVENILE",$2.00
"adult & larva & pupa",$8.00
"ADULT (1); JUVENILE (",$1.00
"adult (49 days)",$1.00
"Adult (Dry shell)",$1.00
"Adult (hatch year)",$1.00
"Adult (im)",$1.00
"adult (old)",$1.00
"adult (queen)",$1470.00
"adult (Sierra Nevada x Oregon in",$1.00
"Adult (skull 85% oss)",$1.00
"Adult (winter)",$1.00
"Adult (with eggs)",$1.00
"adult (year bird? See tag)",$1.00
"adult , adult",$1.00
"adult , adult , adult , adult",$1.00
"adult , immature",$1.00
"adult / juvenile ?",$40.00
"adult ?",$41.00
"adult + 1 young of the year",$1.00
"adult + egg case",$5.00
"adult + egg sac",$13.00
"adult + egg sac (full)",$7.00
"adult + egg sacs",$3.00
"adult + eggs",$1.00
"adult + exuvia",$12.00
"adult + exuviae",$4.00
"adult + immature",$234.00
"adult + immature + egg cases",$1.00
"adult + immature + eggsacs",$2.00
"adult + immature + juvenile",$8.00
"adult + juvenile",$21.00
"adult + larva",$1.00
"adult + larva/pupa",$24.00
"adult + larvae",$10.00
"adult + nymph",$2.00
"adult + sac",$4.00
"adult + young of the year",$1.00
"Adult 1 female",$1.00
"Adult 1 male",$6.00
"Adult 1 male, 1 juvenile",$2.00
"adult 1; immatures 7",$1.00
"adult 11; yoy 50",$1.00
"adult 11K",$1.00
"adult 14K",$3.00
"adult 15+ years old",$1.00
"adult 15K",$2.00
"adult 17K",$1.00
"adult 1K",$5.00
"adult 1K+",$1.00
"Adult 1male",$1.00
"Adult 1male, 1 juvenile",$1.00
"adult 2",$2.00
"Adult 2 males, 1female, 1 juvenile",$1.00
"adult 2; juvenile 1",$1.00
"Adult 2females, 1male",$1.00
"adult 2K",$31.00
"adult 2K+",$50.00
"adult 3K",$5.00
"adult 3K+",$10.00
"Adult 43 g",$1.00
"adult 4K",$1.00
"adult 4K+",$1.00
"adult 5K",$2.00
"adult 5K+",$3.00
"adult 6 years",$1.00
"adult 6K+",$2.00
"adult 7+ years",$1.00
"adult 7K+",$1.00
"adult adult",$145.00
"adult alate",$2.00
"Adult and 2 eggs",$1.00
"adult and ammocoete",$1.00
"Adult and Brood",$182.00
"adult and brood ?",$1.00
"adult and eggs",$3.00
"adult and host",$8.00
"Adult and Immature",$3.00
"Adult and Immatures",$3.00
"ADULT AND JUVENILE",$3.00
"Adult and juvenile, sex unknown",$13.00
"Adult and juveniles",$1.00
"Adult and Larva",$1.00
"Adult and Larvae",$2.00
"adult and nymph",$212.00
"adult and prey",$2.00
"Adult and Subadult",$1.00
"adult based on plumage",$1.00
"ADULT BUT SMALL",$1.00
"ADULT BUT SMALL, SKULL OSSIFIED",$1.00
"Adult by penis, testes",$1.00
"adult by plumage",$102.00
"adult by plumage.",$1.00
"Adult by skull",$1.00
"adult class 3",$24.00
"adult class 4",$5.00
"adult eclipse",$4.00
"adult exulis",$140.00
"Adult female",$22183.00
"adult female - alate queen",$2210.00
"adult female - dealate queen",$1304.00
"adult female - worker",$36341.00
"Adult Female (gravid)",$1.00
"adult female \x{2013} worker",$14.00
"Adult Female w/ 12 eggs (eegs lo",$1.00
"Adult Female, 29.9 g, Skin clip",$1.00
"Adult Female, 521g, SVL 1120 mm,",$1.00
"Adult female, adule male",$1.00
"Adult Female, gravid",$5.00
"Adult Female, laid 4 eggs 25-26",$1.00
"Adult Female, liver tissue taken",$5.00
"Adult female, SVL 179 mm, tail 2",$1.00
"Adult Female, SVL 182 mm, Tail 3",$1.00
"Adult Female, SVL 600 mm, tail 1",$1.00
"Adult Female, SVL 673mm, Tail 18",$1.00
"Adult Female, Tissue-liver sampl",$1.00
"Adult females",$8.00
"adult fundatrix",$21.00
"adult gallicola",$67.00
"adult genitalia, larva skin",$1.00
"adult gravid",$2.00
"ADULT GRAVID FEMALE",$1.00
"Adult HY",$1.00
"adult in copula",$4.00
"adult juvenile",$1.00
"Adult laying.",$1.00
"Adult M and 2 nestlings collecte",$1.00
"adult male",$33116.00
"Adult Male,  SVL 1020 mm, tail 9",$1.00
"Adult male, 1 juvenile",$6.00
"Adult male, female, 1 juvenile",$1.00
"Adult Male, Liver tissue taken",$17.00
"Adult Male, Lver tissue taken",$1.00
"Adult Male, SVL 1453 mm, Tail 51",$1.00
"Adult Male, SVL 163 mm, Tail 32.",$1.00
"Adult Male, SVL 210 mm, tail 259",$1.00
"Adult Male, SVL 560 mm, tail 290",$1.00
"Adult Male, SVL 71 mm",$1.00
"Adult Male, Tissue at LSU",$1.00
"Adult Male, tissue-liver sample",$1.00
"Adult Male, Tissue-scale clips",$1.00
"Adult Male, total length (visual",$1.00
"Adult males",$12.00
"Adult males, 1 juvenile",$2.00
"Adult males, 2 juveniles",$2.00
"adult on egg",$11.00
"Adult on eggs",$41.00
"adult or juv ?",$52.00
"adult or juv?",$24.00
"Adult or juvenil",$1.00
"Adult or Juvenile",$5540.00
"Adult or subadult",$1.00
"Adult orjuvenile",$24.00
"adult parts + 1 pupa case",$1.00
"ADULT PLUMAGE",$10.00
"Adult Post Breeding",$1.00
"Adult post-breeding",$1.00
"adult post-breeding, skull ossif",$1.00
"Adult present",$1.00
"adult queen",$1255.00
"ADULT RIPE FEMALE",$2.00
"Adult sex unknown",$1.00
"adult sexupara",$3.00
"Adult SFO",$26.00
"Adult SFO breeding",$3.00
"Adult skull 100% oss",$3.00
"Adult skull fully oss.",$1.00
"Adult Skull fully ossified",$1.00
"Adult skull oss.",$1.00
"Adult' skull oss.",$1.00
"Adult Skull ossified",$1.00
"Adult skull100% oss",$1.00
"Adult SNFO",$3.00
"Adult still incubating.",$2.00
"adult subadult",$1.00
"Adult SVL 312mm,Tail 144mm",$1.00
"Adult tail clip tissue",$2.00
"Adult tail tissue clip",$1.00
"Adult unsexed",$94215.00
"adult w/ 3 embryos",$1.00
"Adult winter",$1.00
"Adult with 2 eggs",$1.00
"adult with 4 young in-uteri",$1.00
"adult with cocoon",$1.00
"Adult with Egg Sac",$3.00
"Adult with eggs",$2.00
"Adult with embryos",$2.00
"adult with larval and subimaginal exuviae",$2.00
"adult with membracid prey",$1.00
"Adult with tail clip tissue",$1.00
"Adult with tissue",$1.00
"adult worker",$3918.00
"adult(s)",$813.00
"adult(s)a",$1.00
"ADULT*",$2.00
"ADULT**",$1.00
"ADULT,",$11.00
"Adult,  female",$1.00
"Adult,  skull oss.",$1.00
"Adult,  SVL 216 mm, tail 20 mm,",$1.00
"Adult,  SVL 235 mm, tail 30 mm,",$1.00
"Adult, > or = 14 years",$2.00
"Adult, 1 female",$1.00
"Adult, 1 male + 1 female",$1.00
"Adult, 361 mm SVL, Tail 67 mm, 1",$1.00
"Adult, 43 cm TL",$1.00
"Adult, 64 cm total length",$1.00
"Adult, black phase",$2.00
"Adult, breeding",$8.00
"Adult, Brood",$454.00
"Adult, ca 65 cm total length",$1.00
"adult, caterpillar",$2.00
"Adult, cereberus",$1.00
"adult, eclipse plumage",$1.00
"adult, egg",$1.00
"adult, female",$301.00
"Adult, female?",$1.00
"Adult, female? (short tail; did",$1.00
"ADULT, FIRST YEAR",$1.00
"ADULT, FIRST YEAR BIRD",$1.00
"ADULT, GRAVID FEMALE;",$1.00
"adult, imm",$1.00
"Adult, Immature",$5.00
"Adult, immatures",$3.00
"adult, juvenile",$1681.00
"Adult, Juveniles",$2.00
"Adult, juvs(2), Larvae(6)",$1.00
"adult, larva",$2.00
"adult, larvae",$1.00
"Adult, liver tissue",$5.00
"Adult, liver tissue taken",$18.00
"Adult, male",$435.00
"ADULT, N=2 FEMALE",$1.00
"adult, nymph, larva",$1.00
"adult, nymph, larvae",$1.00
"adult, ossified skull",$1.00
"adult, post breeding",$1.00
"Adult, post-breeding",$1.00
"adult, pupa",$6.00
"adult, pupal case",$77.00
"adult, sex unknown",$152884.00
"Adult, skin clip tissue taken",$1.00
"ADULT, SKULL",$1.00
"Adult, skull 100 % ossified",$1.00
"Adult, skull 100% ossified",$2.00
"ADULT, SKULL COMPLETELY OSSIFIED",$6.00
"Adult, skull fully ossifed",$6.00
"Adult, skull fully ossifed.",$1.00
"adult, skull fully ossified",$36.00
"adult, skull fully ossified, bre",$3.00
"adult, skull not quite fully oss",$1.00
"Adult, skull oss",$1.00
"Adult, skull oss.",$39.00
"Adult, skull ossified",$55.00
"adult, subadult",$1.00
"Adult, SVL 235 mm",$1.00
"Adult, SVL 237mm, Tail 41 mm",$1.00
"Adult, SVL 265 mm, Tail 58 mm",$1.00
"Adult, SVL 63 mm, Tail 58 mm",$2.00
"Adult, SVL 633 mm, Tail 102.0 mm",$1.00
"Adult, Tail tissue taken",$1.00
"Adult, tissue (tail) taken",$1.00
"Adult, Tissue at LSU",$1.00
"Adult, Tissue liver sample",$2.00
"Adult, Tissue- scale clip",$1.00
"Adult, Tissue scale clips",$1.00
"Adult, tissue taken from left le",$1.00
"Adult, tissue taken from right l",$1.00
"Adult, Tissue-liver",$1.00
"Adult, Tissue-liver sample",$3.00
"Adult, Tissue-liver sample taken",$3.00
"Adult, Tissue-scale clips",$1.00
"Adult, without abdomen",$1.00
"Adult,Liver tissue taken",$1.00
"adult,skull fully ossified",$1.00
"Adult.",$5.00
"ADULT.\",$1.00
"adult/ immature",$1.00
"Adult/Brood",$2014.00
"Adult/Brood`",$1.00
"ADULT/EGG CASE",$1.00
"Adult/fetus",$1.00
"adult/juv sex unknown",$148.00
"adult/juv, sex unknown",$34.00
"Adult/juvenile",$329580.00
"Adult/old",$1.00
"Adult/sex unknown",$4.00
"Adult/subadult",$1.00
"Adult/young",$7.00
"ADULT: 2 MALE, 2 FEMA",$1.00
"ADULT: 5 MALE, 5 FEMA",$1.00
"ADULT;",$2.00
"adult; > 14 yr",$1.00
"adult; > 5 yr",$1.00
"adult; > 7 yr",$1.00
"adult; > 9 yr",$1.00
"adult; >1 yr 10 mo",$1.00
"adult; >1 yr 6 mo",$2.00
"adult; >10 yr",$1.00
"adult; >11",$1.00
"adult; >11 yr",$1.00
"adult; >2 yr",$1.00
"adult; >22 yr",$1.00
"adult; >3 yr",$9.00
"adult; >5 yr",$1.00
"adult; >5 yr 6 mo",$1.00
"adult; >7 yr",$1.00
"adult; >9 yr",$1.00
