occurrenceStatus,reps
"Rare; 2 individuals, 1 x 20cm dbh, 1 x 40 cm dbh",1
Rare; 3 plants in flower,1
Rare; 3 small trees,1
Rare; a few small trees scattered along roadside for ca. 1 km.,1
Rare; a few.,1
Rare; ca. 10 plants; flowering,1
Rare; ca. 15 plants,1
Rare; common on S side of Jack lake.,1
Rare; only one of last year's culms found,1
Rare; only vegetative plants present.,1
"Rare; several clumps, abundant in this site in Sept 1972.",1
Rare; ssp. fasciculatum (Torrey) Freckmann & Lelong,1
Rare; var. virginicus,1
"Rarely, few stems",1
"Rarely, small clump",1
Raro,837
Rather abundant,1
Rather abundant in deep woods,1
Rather common,1
"Rather dense colony, 1.5 m across",1
Rather frequent shrub,1
Rather frequent.,1
Rather rare,1
Rather small clump.,1
Relatively scarce bush here.,1
Remarkably abundant.,1
Removals,4
Reported,1084
Reseeding nicely everywhere.,1
Restricted,1
Restricted to one small area.,1
Robust,1
Robust patch,1
"Row of planted trees.  1 lone tree at Scattergoods pond, Harmony Rd. Line.",1
Salvage fellings,61
Sanitation fellings,188
Sanitation removals,28
Scarce,26
Scarce here.,5
Scarce in a few dense clumps.,1
Scarce in area.,1
Scarce in dry rich woods,1
Scarce in this locality,1
Scarce to infrequent,1
"Scarce, a single small colony of several plants close together.",1
"Scarce, a single tree seen.",1
"Scarce, few clumps seen in a small area.",1
"Scarce, few deeply furrowed, dark barked trees, leaves very deeply lobed, no acorns seen.",1
"Scarce, few dense clumps seen.",1
Scarce.,9
Scattered,39
Scattered among grasses and sedges,1
Scattered and rare.,2
Scattered but gradually becoming noticeable,1
Scattered but plentiful,4
Scattered but plentiful here.,1
Scattered but plentiful with Carex spp.,1
Scattered but plentiful.,2
Scattered but quite plentiful,1
Scattered but wide-spread,1
Scattered clumps,8
Scattered clumps.,3
Scattered colonies,4
Scattered colonies.,1
Scattered commonly,5
Scattered fairly commonly,1
Scattered few.,1
Scattered here.,1
Scattered in 10 m square patch.,1
Scattered in small patch on hillside.,1
Scattered in varying amounts.,1
Scattered individuals,9
Scattered loose colonies of plants.,1
Scattered nearly everywhere.,1
Scattered patches,2
Scattered patches (100+ flowering plants),1
Scattered patches of robust plants,1
Scattered plants,3
Scattered plants and small colonies,1
Scattered plants seen.,1
Scattered plants.,3
Scattered shrub,2
Scattered singly,4
"Scattered singly in large area, not frequently.",1
Scattered small groups of plants,2
Scattered small trees,2
Scattered sparingly,1
Scattered throughout the district but reasonably common,1
Scattered tree.,1
Scattered trees,2
Scattered tufted plants.,1
"Scattered tufted, robust plants.",1
Scattered uncommonly,5
Scattered uncommonly along roadside,1
Scattered uncommonly.,2
Scattered understory tree.,1
"Scattered, quite plentiful",1
"Scattered, scarcely common",1
"Scattered, uncommon.",1
Scattered.,9
Seen at several points along the SW shore,1
Seen everywhere in the park: from entrance of the park to Lake Marie Louise,1
Seen in numerous locations around lake.,1
Seneral tufted plants.,1
Seven plants seen,1
Several,6
Several at this site.,1
Several bushes.,1
Several clones,1
Several clumps,5
Several clumps.,3
Several colonies,1
Several dozen,1
Several dozen plants,10
Several dozen plants.,2
Several flowering plants,2
Several here.,1
Several hundred pistillate plants forming a clone ca. 20 m in dia,1
Several in view,1
Several individuals; locally rare.,1
Several large clumps,4
Several large clumps of over 50 plants,1
Several large clumps.,1
Several large colonies 2 by 1 m,1
Several large dense clones,1
Several large dense patches,1
Several large patches,2
Several large patches totalling about 300 plants,1
Several large patches.,1
Several large shrubs,1
Several large trees and seedlings,1
Several large trees.,1
Several large tufts and a few small ones.,1
"Several large, many seedlings",1
Several loose colonies,1
Several old trees.,1
Several patches.,1
Several plants,31
"Several plants along the track, quite abundant along the edge of the field. Also in a small clearing in the reforestation.",1
Several plants close together.,2
Several plants in a loose colony.,1
Several plants in early flower & fruit,1
Several plants in limited area.,1
Several plants scattered,1
Several plants with fruit,1
"Several plants, evidently escaping from a garden.",1
Several plants.,24
Several plants.  (1989-94 present. 1996: 6 plants nearby. 1997 large colony.),1
Several robust scattered tufts.,1
Several scattered clumps.,1
Several scattered groups of plants.,1
Several scattered loose groups of plants,1
"Several scattered patches in more open areas, plants sometimes very dense over small areas",1
Several scattered plants,3
Several scattered plants along the river,1
Several scattered plants.,4
Several scattered tufts.,1
"Several scattered, dense colonies",1
"Several scattered, densely tufted plants, also into the open.",1
Several shrubs,2
Several shrubs to 3 m tall.,1
Several small clumps,3
Several small patches.,1
Several small plants under 1 m tall,1
Several small saplings seen,1
Several small scattered plants.,1
Several small thickets,1
Several small trees,1
Several small trees.,1
Several specimens in a 4 m long stretch of the ditch.,1
Several sprawling bushes,1
Several sprawling colonies (or plants.),1
Several sterile plants,1
Several trees on ford Motor Co. property;,1
"Several trees, with regeneration",1
Several trees.,3
Several tufted plants densely close together.,1
Several tufts,1
Several unusually large specimens were seen here.,1
Several widely scattered large tufts.,1
Several widely scattered plants,2
Several widely scattered tufts,1
Several.,1
Sharing dominance,1
Should be common but not manuy specimens seen,1
Silvestre,4
Single,20
Single bush,4
Single clump,2
Single clump seen with one fruiting culm.,1
Single clump.,1
Single colony of 40-50 plants in this area,1
Single large clump.,1
"Single large tree, with a few seedlings",1
Single or in a small clump.,1
Single patch.,2
Single plant,19
Single plant at base of tree,1
Single plant present at this site. Only occurrence of this species noted in park to date.,1
Single plant seen.,1
Single plant.,1
Single shrub,2
Single shrub.,1
Single shrubby tree to 7 ft. tall,1
Single small clone,1
Single specimen,6
Single tree,3
Single tree at edge of forest.,1
Single tree.,5
Six flowering plants,1
Six plants,2
Six plants in one clump,1
"Sizable colony, several hundred clumps",1
Skeleton on loan to Vertebrate Paleontology Teaching Collection from 2000 - 2005,1
"Skin exchanged to St. Bonaventure University ( S. W. Eaton), St. Bonaventure, New York, for 10896, 10897, 18 May 1976 ( D S W), Deaccessioned on 2 February 2015",1
Skin in Buenos Aires: M A C N 52678,1
"Skin on loan, 9 June 2004",1
Small (under 1 m square) dense patch.,1
Small clump,1
Small clump.,1
Small colonies,1
Small colony,4
Small colony 20 ft. in diameter.,1
Small colony.,1
Small group,1
Small group.,1
Small grove,1
Small locally scattered thickets.,2
Small patch,4
Small patch of ca. 2 sq. ft.,1
Small patch.,1
Small population.,3
Small sprawling shrub,1
Small thicket of several,1
Small thicket of this.,4
Small thicket this.,1
Small thickets of this hawthorn.,1
Smallish colonies,1
Solid stand of about 300 sq. ft.,1
Solitary bush,1
Solitary clump,2
Solitary clumps.,1
Solitary exposed clump,1
Solitary patch.,1
Solitary plant,2
Solitary plant.,1
Solitary plant; few hawthorn scattered in area.,2
Solitary plants,1
Solitary shrub.,1
Solitary specimen.,1
Solitary tree.,6
Solitary.,12
Sparce.,1
Sparingly.,1
Sparse,35
Sparse - rare.,2
Sparse and frequent,1
Sparse clumps,1
"Sparse in the shady woods, only seen at one spot.",1
Sparse locally,1
"Sparse, scattered plants",1
Sparse-frequent,2
Sparse-scarce,7
Sparse.,8
Sparsely scattered plants,1
Spec. prostrated and scattered,1
Species abundant in small bog area.,1
Specimen in  Synoptic Collection,1
Specimen in Synoptic Collection,78
"Specimen in Synoptic Collection (traded for O M N H 00800, O M N H 02639, O M N H 04941, O M H H 10426)",1
Specimen in Synoptic Collection.,1
Specimens few,3
Specimens scattered,7
Spreading extensively in cemetery.,1
Spreading prostrate,1
Stretch of plants 60 ft. long.,1
T,38
Teaching Collection,4
Ten scattered plants,1
"The common checkered-skipper has a wingspan of 19 to 32 mm. It gets its name from the checkerboard pattern on its wings; the male tends to have broader bands than the female. The body tends to be blue-gray with the small amount of ""fuzz"" which is seen in all skippers.",4
The common kind at this site.,1
"The distinctive red barred black forewings with white spots make this an easy butterfly to recognize. The underside of the forewing is similar to, though paler than, the upperside, while the hindwing underside is patterned with brown and black. The sexes are similar. Red admirals are strong flying butterflies and often migrate.",3
The high brown fritillary's wingspan is on average around 65 mm. Its upper wings are orange with black markings and the undersides are colored a duller orange with white and brown markings. While flying it is very hard to distinguish from the dark green fritillary which has many of the same markings. The male and female fritillary share many of the same physical features. Larvae are brown with a single longitudinal white stripe down the length of their body. Their bodies are covered in brown spikes which aid in camouflaging them from predators as they move among dead fern fronds.,7
"The hingwing row of small, black spots on this black and orange buttefrfly is very distinictive. The undersides of the forewing are similar to the uppersides, but the hindwing undersides are colored yellowish white with orange and black markings and silvery spots.",2
"The length of the wings is 31?34 mm for males and 28?36 mm for females. Adults are on wing nearly year round.They are notable for the presence of blue pigments in their wings, as opposed to blue created by physical structures.The larvae feed on Alchornea costaricensis and Plukenetia volubilis.",2
The less common kind at this site but still quite frequent.,1
"The male of this beautiful species of butterfly has more blue on the upperside than its female counterpart. The underside of rhe wings have a distinictive, striking pattern of black and yellow ringed eyespots on a brown background. Common morphos are attracted to fermenting fruit.",11
"The patterning on this exquisite butterfly is unique. In conrast to the striking upperside, the underside is dark brown with purplish black lines, providing good camouflage. The females are slightly larger than the males.",9
"The striking eyespots of this butterfly make it easy to recognize, although the markings can be variable. The sexes are similar. Eary stages: the caterpillar is green to blackish grey and marked with orange and yellow. It feeds on plantains.",23
The striking patches of metallic color found on the hindwings of the place this butterfly in a group called the gloss papilios. Female Paris Peacocks are usually yellower than the males.,1
The upperside of this butterfly is a very pale green with distinctive black markings. The underside is also pale with orange-brown lines. Malachites are on the wing all year in the tropics. They feed on fermenting fruit.,1
The upperside of this butterfly is a very pale green with distintive black markings . The underside is also pale with orange-brown lines. Malachites are on the wing all year in the tropics. They feed on fermenting fruit.,2
"The uppersides on the forewings of both sexes of this karge butterfly are shot with iridescent purple, although it is most evident in the darker male. The female has brown hindwings shot with white lines. The undersides are similar, but lack the iridescenes. This speices belongs to a large Indo-Australian genus known as crow butterflies because of their iridescent dark colors. Both catepillars and adults are poisonous.",1
"The wingspan is 30 to 35 millimetres (1.2 to 1.4 in).The uppersides of the forewings are black with a broad red median band and a blue basal area. Also the uppersides of the hindwings are black, while the electric-blue area is larger and extended up to the edges. The undersides of the forewings are similar to uppersides but show also a yellow band. The basic colour of the undersides of the hindwings is black, with four pale blue or yellow spots in the middle of a black oval surrounded by concentric yellow bands.",1
The wingspan is about 11 ? 13 cm. Papilio menestheus is a member of the family PAPILIONIDAE. The basic colour of this butterfly is brown. Yellow spots and bands dominate the wings.,1
"The wingspan is about 85 mm. Adults have an iridescent-blue patch, which is confined to the discal area of the hindwing. There is also a series of submarginal eyespots.",1
"They are purplish-green with two longitudinal, greenish-yellow stripes on each side and the dorsal side. When full-grown, they are approximately one and a quarter inches long.[3] The wingspan in adults is 63?86 mm. Adults are on wing all year round in southern Texas, peninsular Florida and along the Gulf Coast. A.monuste is a migrating species that moves in one direction within its life span and does not return. It breeds in Florida but sometimes migrates along the coast up to 160 km to breed in more suitable areas.",1
Thick colony with submersed & floating leaves & fruit,1
Thick mat,2
Thick mat 30 m in diameter,1
Thick patch,1
Thick patch 1 m in diam,1
Thicket of 10+ trees.,2
Thicket of this species.,2
Thicket of this.,1
Thickly colonial,1
Thinning,4
"This beautiful butterfly belongs to a group of similar species. The pattern if metallic. greenish blue on black is very striking and quite variable, many forms have been named. The underside by contrast is grayish brown, with a dark central band. The sexes are similar. when in flight these butterflies make a crackling sound.",9
"This beautiful butterfly has three major color forms. In all three the forewings are similar in their patterning of black and pale yellow, but the hindwing markings may be orange, blue or green. The underside of the forewing is similar to the upperside, the hindwing is black with white rays. The sexes are alike.",1
"This beautiful butterfly has three major color forms. In all three the forewings are similar in their patterning of black and pale yellow, but the hinwing markings may be orange, blue or green. The underside of the forewing is similar to the upperside; the hindwing is black with with white rays.",10
"This beautiful butterfly has three major colour forms . In all three, the forewings arre similar in their patterning of black and pale yellow, but the hindwing markings may be orange, blue or green. The underside of the forewing is similar to the upperside ; the hindwing is black with white rays. The sexes are alike.",6
"This butterfly can be distinquished from the small tortoiseshell (Aglais urticae) by its larger size, its hairy appearance, and the lack of white markingson the leding edge of its forewings. The underside is patterned with various shades of brown and has a distinctive marginal band of slate-gray.",8
"This butterfly is easily recognized by its translucent forewings and drooping tail. The only other species in this genus (lamproptera curius) can be distinguished by the presence of a transverse white band on the wings. Green dragontails resemble dragonflies in flight and have a rapid wingbeat. Even when resting, they vibrate their wings. Unlike the majority of butterflies, they hover over flowers while feeding.",1
This form common here.,1
This form occasional with no bloom on berries,1
"This from a flourishing colony of C. monogyna of 50+ trees, the only hawthorns seen in the Oakridge area",2
This golden yellow fringed butterfly has no tails. It is dark and the hindwings usually have a green luster. The underside is patterned with  red. These swallowtails are distasteful to birds.,3
"This highly variable butterfly mimics many different species belonging to various groups. It can be distinguished from similar species by its long yellow antennae and its relatively small head. The underside is similar in appearance to the  upperside, but with white spots along the dark brown margins. They are on the wing for most of the year. Both sexes visit flowers.",16
This is an amaziningly variable butterfly. Almost all variations are matched by parallel forms in the postman (H. melpomene) and the two speices occur in the same habitats. Similar forms occur in both sexes. Butterflies fly close to the ground along forest margins and open ground. They roost communally at night.,1
This is an uninspiring but well-known and widely distributed species distinguished by its small size and simple blck wing markings. Females have a yellow hue and two black spots on the forewing. Cabbage butterflies are on the wing from spging to autum. The  caterpillar is yellowish green. It feeds on cultivatedand wild cabbage and other related plants.,5
This is probably the most common deciduous species of the bottom land.,1
"This is the most spectacular speices in this small genus of distinctive yellow butterflies. The deeo orange center on the forewing of the male is characateristic, as are the slight hindwing tails. Females are larger and much paler, with only a trace of color. Cleopatras can be distinquished from other speices by the presence of a faint orange streak on the inderside of the forewing. They are on the wing from late winter to autum, particularly in Medierranean costal areas.",6
"This is the most spectaculat species in this small genus of distinctive yellow butterflies. The deep orange center on the forewing of the male is characteristic, as are the slight hindwing tail. Females are larger and much paler, with only a trace of color. Cleopatras can be distinquished from other species by the pressence of a faint orange streak on the underside of the forewing. They are on the wing from late winter to autum, particularly in Mediterranean coastal areas.",2
"This largely black species can have pink, ruby or purplish patches on  the hindwings. The butterflies mimic swallowtails of the genus Parides",16
"This largely black species can have pink, ruby or purplish patches on the hindwing. The butterflies mimic swallowtails of the genus Parides.",7
This little butterfly is one of the most commonest speices in the northern hemisphere. The forewings are bright orange-red with black spots and and dark grey borders. The hindwings are pgedominately dark grey.,7
This orange coloured fritillary has rows of dark dots or chevrons at the wing edges and black or brown lines more proximally.The ventral sides of the wings are also orange with several rows of white dots. Its wingspan is between 51 and 73 mm.,6
"This pale yellow species has slender, transverse stripes and long tails. In some forms, the background color is almost white and the black stripes are much heavier.",1
This plentiful in recently cut woods farther west,1
This record is only a numerical placeholder. Catalog number originally assigned to fluid preserved stomach contents without specimens,2
This species abundant.,1
This species common here,1
This species common native here but not in flower.,1
This species common over hillside,1
This species plentiful here.,1
This species scarce here.,1
This specimen abundant here.,1
This specimen is the same as 7961,1
"This striking species belongs to a genus of large butterflies characterized by enormous owllike eyespots on the underside of the hindwings. In both sexes, the uppersides of the forewings are dark brown with a bluish suffusion and a white line running through. The hindwings are blck with a dull blue base. The undersides of the wings have an intricate brown and white featherlike pattern. Owl butterflies fly early in the morning and towards dusk.",7
"This strking, blackish brown butterfly, with it's bright orange-brown wingtips and white bands is easily recognizable. Females are similar to males but larger. The underside pattern is paler and duller than the upperside, and the white hindwing bad is margined with orange-brown. Adults tend to fly close to the ground, where they feed from forest flowers.",1
This taxon plentiful here,2
"This unmistakable species has a dark maroon upperside with blue marginal spots and broad pale yellow borders to the wings. The underside is dark gray, lined with black, and the margins are yellowish white, speckled with black. The sexes are similar. It is known in Britain as the camberwell beauty.",3
"This unmistakable speices has adark marron upperside with blue marginal spots and broad, pale yellow border to the wings.. The underside is dark gray, lined with black and the margins are yellowish white, speckled with black. The sexes similar. it is knk own in Britain as the camberwell beauty.",2
Thousands (most ever seen by JBP) of this species here,1
Thousands of plants in bog,1
Threatened,45
Three or four trees.,1
Three plants,3
Throughout N tract,91
Throughout S tract,7
Throughout woods,19
To be regenerated,65
"Toe pad loaned for DNA extraction to Dr. Rebecca Kimball, Department of Biology, University of Florida (ZO.2014.2)",2
"Toe pad loaned for DNA extraction to Dr. Samantha Wisely, KSU Conservation Genetic and Molecular Ecology Lab, Kansas State University (ZO.2011.2)",17
"Toe pad loaned for DNA extraction to Dr. Samantha Wisely, KSU Conservation Genetic and Molecular Ecology Lab, Kansas State University (ZO.2011.2)x",1
Total in flower 164.,1
Treated,267
Tres abondant sur les calcaires.,1
Twenty five plants,2
Twenty plants,2
"Twenty scattered plants, in 6-7 locations",1
Two,1
Two adjacent bushes,1
Two clumps,1
Two clumps & a few other seedlings,1
Two hawthorns,1
Two large clumps.,1
Two large patches,2
Two large plants,1
Two large plants only,1
Two mature trees,1
Two only,1
Two plants,9
Two plants ca. 0.6 m tall,1
Two plants seen.,1
Two robust clumps,1
Two saplings,1
Two small trees,2
Two trees,2
Ubiquitous,1
Ubiquitous.,1
Uncommon,610
Uncommon & scattered.,1
Uncommon (in crevices),1
Uncommon (in this location),8
Uncommon (scatterered individuals),1
Uncommon and local,9
Uncommon and local.,4
Uncommon at this site,2
Uncommon drier edges of bog,1
Uncommon in area.,1
Uncommon in damp sand,1
Uncommon in deeper water,1
Uncommon in this area.,1
Uncommon in understory.,1
Uncommon locally.,1
"Uncommon on clay fill, common to abundant on dry sands",1
Uncommon on flats; fairly common on dry beach,1
Uncommon on old windthrow mounds,1
Uncommon small tree.,1
Uncommon this site,3
Uncommon to rare,1
"Uncommon, (on hummocks)",1
"Uncommon, a few groups",1
"Uncommon, along fence row",1
"Uncommon, also larger patch ca. 3 km S on Hwy.",1
"Uncommon, at edge of mat by water",1
"Uncommon, but well established",1
"Uncommon, confined to a small area",1
"Uncommon, group of 10-15 plants",1
"Uncommon, group of 15-21 plants",1
"Uncommon, in one confined area",1
"Uncommon, local",2
"Uncommon, possibly introduced",1
"Uncommon, reasonably likely area has been replanted with native wildflowers",1
"Uncommon, scattered",1
"Uncommon, small number of scattered individuals",1
"Uncommon, this area",1
Uncommon.,85
"Uncommon. Abundant,",1
Uncommon: ca. 25+ plants,1
Uncommon; 30-40 plants,1
Uncommon; 5 plants collected,1
Uncommon; > 60 plants,1
Uncommon; ca. 20 plants seen,1
Uncommon; scattered clumps,1
Uncommon; scattered clumps.,1
Uncommon; scattered near edge of burned forest,1
Uncommon; scattered plants,1
Uncommon; three 1 m square clumps.,1
Uncommonly scattered,1
Uncommonly scattered small trees,1
Une vingtaine de plants.,1
Unique to property,1
University of Oklahoma Biological Station,3
University of Oklahoma Biological Station 191,1
Unprocessed,4
"Unusually abundant at this site (hundreds), forming several dense thickets.",1
Unusually plentiful in this area,1
"Unzueta, A., ARAN""",3
"Upperside brownish black; a broad white, inwardly oblique, discal band from vein 3 of the forewing to vein 1 of the hindwing, this band bordered broadly on both sides by brilliant iridescent blue and meeting anteriorly 3 white outwardly oblique spots in interspaces 3, 4, 5 of forewing. Three preapical small spots and an obscure subterminal series of dots on the fore, and a better defined, slightly curved, subterminal series of spots on the hindwing, all white, also on the latter wing an apical and a tornal fulvous-yellow spot. Underside pearly bluish white, the discal band and spots of the upperside showing through pinkish white, the discal spots and band on the forewing bordered interiorly with black, and some black marks in the cell. Forewing: an oblique somewhat sinuous postdiscal, and a more even broad terminal band rich brown, the former ending at the tornus in a fulvous-yellow patch bearing a black spot with some black outer markings, the latter white spotted at the tornal angle. Hindwing with postdiscal straight and terminal broad bands of the same rich brown, a black white-bordered subtornal spot, and another in interspace 2 placed on the brown postdiscal band. Antennae brown; head, thorax and abdomen brown above, white beneath.",2
Usually forms large colonies but these scattered & local.,1
VU,575
Vert plentiful,1
Very  Abundant & Frequent,2
Very Abundant,2
Very Common,8
Very Frequent,2
Very abundant,11
Very abundant 100-499,7913
Very abundant along the road to Tamarack Club.,1
Very abundant between Steamboat Springs and Craig,1
Very abundant here,1
Very abundant here.,2
Very abundant in extensive colonies.,1
Very abundant in large colonies.,1
Very abundant in the most open and wettest of areas,1
Very abundant locally.,1
Very abundant over small area.,1
Very abundant species in former Black Spruce bog,1
"Very abundant, forming large loose to dense colonies fairly well all around the lake",1
"Very abundant, forming solid coover over small area",1
Very abundant.,13
Very abundantly.,1
Very common,60
Very common along 1 km of swamp; previously found here by A. Dugal,1
Very common everywhere,1
Very common for 1 km along trail,1
Very common for 100 m +.,1
Very common forming small areas of turf,1
Very common here to upper picnic area,1
Very common here.,3
Very common in area,1
Very common in dry soil,1
Very common in open forming low colonies E side of river.,1
Very common in peat bogs,1
Very common in restricted area,1
"Very common in shady areas, seemingly all the pubescent form.",1
Very common in the district,1
"Very common in the opening, not seen elsewhere",1
Very common in woods,1
Very common in woods.,1
Very common locally,1
Very common locally.,3
Very common low.,1
Very common on boulders on coarse talus slope & rock slides from 1400 - 2000 ft.; rare on cliffs.,1
Very common on edge & in water,1
Very common spreading along roadsides,1
Very common towards extreme end of the point,1
"Very common, abundantly rooting at tips",1
"Very common, forming mats in some areas.",1
"Very common, formiong colonies.",1
"Very common, the dominant plant over most of the first dune.",1
Very common.,25
Very common; 35 plants collected; 100s of plants w both parent species,1
Very common; clumps scattered across an area ca. 75 m x 3 m,1
"Very common; many plants in wettest , most open part of ditch",1
Very common; spreading along road.,1
Very dense cespitose clump.,1
Very dense colony.,1
Very extensive thickets,1
Very few on open sand,1
Very few plants,2
Very few plants seen.,1
Very few; 2 small colonies of about 10 stems each seen,1
"Very frequent, in dense mats of Polystichum juniperinum.",1
Very large area completely populated 10 m by 10 m,1
Very local,1
Very local but hundreds of plants.,1
Very local.,4
Very local; forms dense cover.,1
Very numerous.,1
Very plentiful,100
Very plentiful along all roads in area,1
Very plentiful along roadside along woods,1
Very plentiful and on this date a startling show,1
Very plentiful for +/- 300 m,1
Very plentiful forming carpets.,1
Very plentiful forming mats up to 10' across,1
Very plentiful here,10
Very plentiful here.,1
Very plentiful in recently cut black spruce fen growing in Sphagnum with Chamaedaphne sp,1
Very plentiful in this area,1
Very plentiful in this location,1
Very plentiful with Viola spp,1
Very plentiful.,18
Very plentiful.  168 specimens in 2 m sq,1
Very prolific,1
Very prolific here,3
Very prolific.,3
Very rare at this site.,1
Very rare here.,2
Very rare here. No flowering or fruit specimens,1
Very rare plant.,1
Very rare this far S and W but does occur in Michigan,1
Very rare.,2
Very scarce,1
Very scarce here,1
Very scarce in this district,1
"Very scarce, only one patch ca. 2 ft. sq. seen in pit",1
Very scarce.,1
Very thick.,1
Very very abundant,1
Very very abundant > 500,2813
Visto ocasionalmente.,1
W-most and smaller of 2 individuals.,1
Weedy.,1
Well established colony spread throughout this small moist cedar bog.,1
Well established here.,1
Widely diffused,1
Widely distributed in Australia.,1
Widely scattered,5
Widely scattered in park-like stand,1
Widely scattered shrubs.,1
Widely scattered through woods.,1
Widely scattered.,1
Widespread,1
Widespread & often locally abundant over several acres.,1
Widespread and common,8
Widespread in one location.,1
Widespread on island. Probably escaped,1
Widespread.,1
"With it's characteristic pattern of orange and black, with white spots this butterfly is easy to recognize.",6
"With its bold pattern of blac and orange, and wing veins enhanced by dark borders, this is one of the best-known butterflies. The sexes are similar. The caterpillar is banded with black, yellow, cream and has tentacles behind the head. It feeds on milkweeds and related plants.",5
"With its pretty, checkered pattern of black and orange, this is a typical fritillary. Underside is mainly pale orange with a series of large, white, marginal markings on both wing and distinctive black spots. Females are considerable larger than males.",26
a considerable grove,1
a few,1
a few clumps,1
"a few clumps, north side of road",2
a few scattered shrubs,1
a few shrubs,3
a few shrubs; well away from cultivation,1
a few sprouts,1
a large population of these hybrids is found on the western edge of our area both north and south of the highways,1
a large range of aberrants occur in widely separated populations and sometimes account for nearly 20% of a colony,1
a number of dense thickets of black willow occur in such low places along the river,1
a rare escape,1
a small grove,1
abs,1
absent,10282839
abundant,19
abundant - dominant locally,1
abundant along dune area,1
abundant as small trees beneath hemlock.,1
abundant between first beach ridge and current dunes,1
abundant in mats,1
abundant in this location,1
abundant in this one area where this was found,1
abundant locally,2
abundant throughout,1
abundant throughout dry areas of clearing,1
abundant.,9
abundant.2,1
abundante,369
abundante a bastante abundante,1
abundante a co-dominante,1
abundante e dominante,3
abundante e frequente,12
abundante ou dominante,1
abundante.,1
acc. to Liston not uncommon in Glenelg Twp and white flowered form may be found there,1
"adult; red; banded 30 April 1967 (band number 515-35307); also banded were five nestlings from a box ""above the Cooksey's back stoop"", Norman, OK; it was at least one year old when banded; banded by Dr. Paul F. Nighswonger.",1
alive,88
bastante abundante,11
"bracts, sepals, capsule shape typical; but capsule circumscissile below middle, leaves with reddish petioles",1
breeding in region,12
c 6 plants.,1
ca. 10 plants,1
ca. 10 trees,1
ca. 100 plants,1
ca. 15 plants,1
ca. 15 shrubs,1
ca. 20 m long patch,1
ca. 20 plants,1
"ca. 20 scattered clumps, not near any houses",1
ca. 20-30 plants seen,1
"ca. 25 flowering plants, numerous leaves",1
ca. 25 fruiting and flowering stems,1
ca. 25 plants,1
ca. 25 plants seen,1
ca. 30 plants,1
ca. 35 plants scattered over less than 1 sq. road,1
ca. 40 plants; common on S. end of outcrop,1
ca. 60 plants,1
ca. 8 plants located in this area,1
clonal low shrub occupying ca. 2.5 X 1.5 m,1
co-dominant,4
collected,6492
common,316
common and widespread,1
common component.,2
common forest tree,1
common here and southward,1
"common in Plot, and generally common in southern James Bay coastal marshes",1
common in seepages,1
common in this locality,1
common in this valley,1
common on mossy slopes,1
common rockery flower,1
common shrub of the sand.,1
common throughout the islands,1
"common, 20+ clumps",1
"common, local",1
common.,14
complet,75906
comum,47
común,496
confirmed breeding,284635
dead,4
dense thickets,1
densely hairy form; fairly common,1
dispersa,1
dominant,5
dominant.,3
dominante,69
dominante ou co-dominante,1
doubtful,19980
doubtful (occurrence with question mark).,6
détruit,56
established,256404
extensive patch along about 120m of shoreline and covering shoreline bank,1
extensive patch for ca. 1 km,1
extensive patch on south roadside,1
fairly common,7
fairly common for ca. 100 m along shore,1
"fairly common, but few in bud or flower",1
"fairly common, scattered throughout stand, and along edge of small floodplain",1
fairly common; var. virescens (Muhlenb.) Luer,1
few,5
few bushy shrubs,1
few colonies totalling several hundred plants,1
few naturalised plants,1
few scattered shrubs,1
few seedlings and saplings,1
few shrubs,2
few small trees,3
few trees,1
floração,2
found only in this locality,1
frecuente,50
frequent,1
frequent bush (?),1
frequent locally,1
frequent with other Crataegus spp.,1
frequente,91
frequente a dominante,1
frequente e abundante,10
frequente e mais ou menos abundante,2
generally common,1
growing thickly for a stretch of about 75m,1
grows in clumps in clearings and fields,1
half dozen trees,1
high density,30
"high, but being cut down!",3
in places this species completely carpets ground,1
in small colony of same,1
"in this location, counted 117. three other locations were found, totally up to 500 plants.",1
incomplet,43683
intermingled with Dryopteris carthusiana,1
irregular,12661
large patch,2
"large, erect, non-decumbent shrubs to 60-70 cm tall",1
local,47
local dominant,1
local in vicinity of former baseball diamond,1
local on east roadside,1
"local, about 7 small trees",1
"local, ca. 20 clumps seen",1
"local, common",1
"local, not seen elsewhere at Sandy Lake",1
local; rare,1
local; uncommon,1
localized patch,1
localized patch at edge of dirt road; 501-00 flowering plants,1
locally abundant,1
locally adundant,1
locally common,27
locally common N. of Nobel from 4.0 km N. of Woods Rd. to 6.4 km S. of Woods Rd.,1
locally common among trees,1
"locally common in patches, totalling 1000's of plants",1
locally common with Aristida dichotoma,1
"locally common, 100+ plants",1
"locally common, several colonies seen",1
"locally common, several hundred plants",1
"locally common, several thousand plants estimated",1
locally dominant,1
locally established,250
locally frequent,1
locally rare.,1
locally very abundant.,1
locally very common,1
low,1
low density,6
low-medium density,4
"low-medium density, mostly C. monogyna",2
mais ou menos abundante,34
mais ou menos abundante a bastante abundante,1
mais ou menos abundante e frequente,1
mais ou menos dominante,1
many plants slightly scattered,1
many shrubs,4
many small saplings,1
many vines,1
"many, large old trees",1
may be rare in County,1
medium density,28
medium-low density,1
menos abundante,1
menos frequente,1
most abundant species here.,1
muito abundante,148
muito abundante a dominante,4
muito abundante e frequente,3
